Plate,Type,Sample_ID,Concentration,Signal_mean,Signal_std,N,CV,Recovery,Outlier
example_plate1,BLANK,BLANK,0.0,0.025,0.007071067811865475,2,28.284271247461902,,False
example_plate1,QC,QC_HIGH,8.0,1.6749999999999998,0.03535533905932749,2,2.110766511004626,20.937499999999996,False
example_plate1,QC,QC_LOW,1.5,0.395,0.021213203435596385,2,5.370431249518072,26.333333333333336,False
example_plate1,SAMPLE,SAMPLE_1,,0.375,0.021213203435596444,2,5.656854249492385,,False
example_plate1,SAMPLE,SAMPLE_2,,1.3,0.028284271247461926,2,2.1757131728816863,,False
example_plate1,SAMPLE,SAMPLE_3,,2.1900000000000004,0.01414213562373112,2,0.6457596175219689,,False
example_plate1,SAMPLE,SAMPLE_4,,0.07500000000000001,0.007071067811865477,2,9.428090415820636,,False
example_plate1,STD,STD_0.5,0.5,0.11499999999999999,0.007071067811865467,2,6.14875461901345,23.0,False
example_plate1,STD,STD_1,1.0,0.265,0.007071067811865481,2,2.6683274761756532,26.5,False
example_plate1,STD,STD_10,10.0,2.075,0.03535533905932772,2,1.7038717618953116,20.75,False
example_plate1,STD,STD_2,2.0,0.51,0.014142135623730963,2,2.7729677693590125,25.5,False
example_plate1,STD,STD_5,5.0,1.135,0.021213203435596288,2,1.869004707982052,22.7,False
